a.m.;abbr;ˌeɪˈɛm;ранок;до полудня
ability ; n ; əˈbɪlɪti ; здатність, уміння  
it; pron.; ɪt; воно
IT; n.; ˌaɪˈtiː; інформаційні технології
item; n.; ˈaɪtəm; предмет
its; pron.; ɪts; його (чий?)
itself; pron.; ɪtˈself; себе
jacket; n.; ˈdʒækɪt; куртка
jail; n.; dʒeɪl; в'язниця
jam; n.; dʒæm; джем
jazz; n.; dʒæz; джаз
jealous; adj.; ˈdʒeləs; ревнивий
jeans; n.; dʒiːnz; джинси
jet; n.; dʒet; реактивний літак
jewellery; n.; ˈdʒuːəlri; ювелірні вироби
job; n.; dʒɒb; робота
jog; v.; dʒɒɡ; бігати підтюпцем
join; v.; dʒɔɪn; приєднуватися
joke; n., v.; dʒəʊk; жарт; жартувати
journalism; n.; ˈdʒɜːrnəlɪzəm; журналістика
journalist; n.; ˈdʒɜːrnəlɪst; журналіст
journey; n.; ˈdʒɜːrni; подорож
judge; n., v.; dʒʌdʒ; суддя; судити
jug; n.; dʒʌɡ; глечик
juice; n.; dʒuːs; сік
jump; v., n.; dʒʌmp; стрибати; стрибок
jury; n.; ˈdʒʊəri; журі
just; adv., adj.; dʒʌst; тільки; справедливий
kangaroo; n.; ˌkæŋɡəˈruː; кенгуру
keen; adj.; kiːn; захоплений
keep in; v.; kiːp ɪn; зберігати
keep on; v.; kiːp ɒn; продовжувати
keep up; v.; kiːp ʌp; встигати, підтримувати
keep; v.; kiːp; зберігати
kettle; n.; ˈketl; чайник
key; n.; kiː; ключ
kids; n.; kɪdz; діти
kill; v.; kɪl; вбивати
kilo; n.; ˈkiːləʊ; кілограм
kilometre; n.; kɪˈlɒmɪtər; кілометр
kind; adj., n.; kaɪnd; добрий; вид
king; n.; kɪŋ; король
kiosk; n.; ˈkiːɒsk; кіоск
kiss; v., n.; kɪs; цілувати; поцілунок
kitchen; n.; ˈkɪtʃɪn; кухня
kitten; n.; ˈkɪtn; кошеня
knee; n.; niː; коліно
kneel; v.; niːl; стояти на колінах
knife; n.; naɪf; ніж
knit; v.; nɪt; в'язати
knock down; v.; nɒk daʊn; збити з ніг
knock out; v.; nɒk aʊt; вирубати
knock; v., n.; nɒk; стукати; стук
know; v.; nəʊ; знати
knowledge; n.; ˈnɒlɪdʒ; знання
laboratory; n.; ləˈbɒrətri; лабораторія
labourer; n.; ˈleɪbərər; робітник
lack; n., v.; læk; нестача; не вистачати
ladder; n.; ˈlædər; драбина
lady; n.; ˈleɪdi; леді
lake; n.; leɪk; озеро
lamb; n.; læm; ягнятина
lamp; n.; læmp; лампа
land; n.; lænd; земля
landlady; n.; ˈlændleɪdi; домовласниця
landlord; n.; ˈlændlɔːrd; домовласник
landscape; n.; ˈlændskeɪp; пейзаж
language; n.; ˈlæŋɡwɪdʒ; мова
laptop; n.; ˈlæptɒp; ноутбук
large; adj.; lɑːrdʒ; великий
laser; n.; ˈleɪzər; лазер
last; adj., det., adv.; lɑːst; останній; останній раз
late; adj., adv.; leɪt; пізній; пізно
lately; adv.; ˈleɪtli; нещодавно
later; adv.; ˈleɪtər; пізніше
latest; adj.; ˈleɪtɪst; найновіший
laugh; v., n.; lɑːf; сміятися; сміх
laundry; n.; ˈlɔːndri; білизна
lavatory; n.; ˈlævətri; туалет
law; n.; lɔː; закон
lawn; n.; lɔːn; газон
lawyer; n.; ˈlɔːjər; юрист
lay; v.; leɪ; класти
lazy; adj.; ˈleɪzi; ледачий
lead; v.; liːd; вести
leaf; n.; liːf; листок
learn; v.; lɜːrn; вчитися
least; det., pron.; liːst; найменший
leather; n.; ˈleðər; шкіра
leave out; v.; liːv aʊt; пропускати
leave; v.; liːv; залишати
lecture; n.; ˈlektʃər; лекція
left; adj., adv.; left; лівий; ліворуч
leg; n.; leɡ; нога
leisure; n.; ˈleʒər; дозвілля
lemon; n.; ˈlemən; лимон
lemonade; n.; ˌleməˈneɪd; лимонад
lend; v.; lend; позичати
length; n.; leŋθ; довжина
less; det., pron.; les; менше
lesson; n.; ˈlesn; урок
let; v.; let; дозволяти
letter-box; n.; ˈletərbɒks; поштова скринька
lettuce; n.; ˈletɪs; салат-латук
level; n.; ˈlevl; рівень
library; n.; ˈlaɪbrəri; бібліотека
licence; n.; ˈlaɪsns; ліцензія
lie; v.; laɪ; лежати
life; n.; laɪf; життя
lift; v., n.; lɪft; піднімати; ліфт
light; n., adj.; laɪt; світло; легкий
lighter; n.; ˈlaɪtər; запальничка
like; v., prep.; laɪk; любити; як
likely; adj.; ˈlaɪkli; ймовірний
limit; n., v.; ˈlɪmɪt; межа; обмежувати
line; n.; laɪn; лінія
lip; n.; lɪp; губа
lipstick; n.; ˈlɪpstɪk; помада
liquid; n.; ˈlɪkwɪd; рідина
list; n., v.; lɪst; список; складати список
listen; v.; ˈlɪsn; слухати
literature; n.; ˈlɪtərətʃər; література
litre; n.; ˈliːtər; літр
litter; n.; ˈlɪtər; сміття
little; adj., det., pron.; ˈlɪtl; маленький; мало
live; v.; lɪv; жити
living room; n.; ˈlɪvɪŋ ruːm; вітальня
living; adj.; ˈlɪvɪŋ; живий
load; n., v.; ləʊd; вантаж; завантажувати
loaf; n.; ləʊf; буханець
loan; n.; ləʊn; позика
local; adj.; ˈləʊkl; місцевий
location; n.; ləʊˈkeɪʃn; місцезнаходження
lock; n., v.; lɒk; замок; замикати
locker; n.; ˈlɒkər; шафка
lonely; adj.; ˈləʊnli; самотній
long; adj.; lɒŋ; довгий
look after; v.; lʊk ˈɑːftər; доглядати
look forward to; v.; lʊk ˈfɔːrwərd tuː; чекати з нетерпінням
look like; v.; lʊk laɪk; бути схожим
look out; v.; lʊk aʊt; остерігатися
look up; v.; lʊk ʌp; шукати (в словнику тощо)
look; v.; lʊk; дивитися
loose; adj.; luːs; вільний
lorry; n.; ˈlɒri; вантажівка
lose; v.; luːz; втрачати
lost property office; n.; lɒst ˈprɒpərti ˈɒfɪs; бюро знахідок
lot; n.; lɒt; багато
loud; adj.; laʊd; гучний
lounge; n.; laʊndʒ; вітальня
love; n., v.; lʌv; любов; любити
lovely; adj.; ˈlʌvli; чудовий
low; adj.; ləʊ; низький
lower; v.; ˈləʊər; знижувати
luck; n.; lʌk; удача
luggage; n.; ˈlʌɡɪdʒ; багаж
lump; n.; lʌmp; шматок
lunch; n.; lʌntʃ; обід
lunchtime; n.; ˈlʌntʃtaɪm; час обіду
lung; n.; lʌŋ; легеня
luxury; n.; ˈlʌkʃəri; розкіш
machine; n.; məˈʃiːn; машина
mad; adj.; mæd; божевільний
Madam; n.; ˈmædəm; пані
made of; phr.; meɪd ɒv; зроблений з
magazine; n.; ˌmæɡəˈziːn; журнал
magic; n.; ˈmædʒɪk; магія
magnificent; adj.; mæɡˈnɪfɪsnt; чудовий
mail; n., v.; meɪl; пошта; відправляти поштою
main; adj.; meɪn; головний
majority; n.; məˈdʒɒrəti; більшість
make sure; v.; meɪk ʃʊər; переконатися
make-up; n.; ˈmeɪkʌp; макіяж
make; v.; meɪk; робити
male; adj., n.; meɪl; чоловічий; чоловік
man; n.; mæn; чоловік
manage; v.; ˈmænɪdʒ; керувати
manner; n.; ˈmænər; манера
many; det., pron.; ˈmeni; багато
map; n.; mæp; карта
mark; n., v.; mɑːrk; позначка; позначати
market; n.; ˈmɑːrkɪt; ринок
marriage; n.; ˈmærɪdʒ; шлюб
marry; v.; ˈmæri; одружуватися
master; n.; ˈmɑːstər; майстер
match; n., v.; mætʃ; сірник, матч; збігатися
mate; n.; meɪt; друг, товариш
material; n.; məˈtɪəriəl; матеріал
math; n.; mæθ; математика
mathematics; n.; ˌmæθəˈmætɪks; математика
matter; n.; ˈmætər; справа
maximum; adj., n.; ˈmæksɪməm; максимальний; максимум
maybe; adv.; ˈmeɪbi; можливо
me; pron.; miː; мене
meal; n.; miːl; їжа
mean; v., adj.; miːn; означати; середній
means; n.; miːnz; засоби
measure; v., n.; ˈmeʒər; вимірювати; міра
meat; n.; miːt; м'ясо
mechanic; n.; məˈkænɪk; механік
medicine; n.; ˈmedsn; ліки
medium; adj., n.; ˈmiːdiəm; середній; середина
meet; v.; miːt; зустрічати
melon; n.; ˈmelən; диня
melt; v.; melt; танути
member; n.; ˈmembər; член
membership; n.; ˈmembərʃɪp; членство
memory; n.; ˈmeməri; пам'ять
mention; v.; ˈmenʃn; згадувати
menu; n.; ˈmenjuː; меню
merry; adj.; ˈmeri; веселий
message; n.; ˈmesɪdʒ; повідомлення
metal; n.; ˈmetl; метал
method; n.; ˈmeθəd; метод
metre; n.; ˈmiːtər; метр
microwave; n.; ˈmaɪkrəweɪv; мікрохвильова піч
midday; n.; ˈmɪddeɪ; полудень
middle; adj., n.; ˈmɪdl; середній; середина
midnight; n.; ˈmɪdnaɪt; північ
mild; adj.; maɪld; м'який
mile; n.; maɪl; миля
milk; n.; mɪlk; молоко
millimetre; n.; ˈmɪlɪmiːtər; міліметр
mind; n., v.; maɪnd; розум; заперечувати
mine; pron.; maɪn; мій
mineral water; n.; ˈmɪnərəl ˈwɔːtər; мінеральна вода
mineral; n.; ˈmɪnərəl; мінерал
minimum; adj., n.; ˈmɪnɪməm; мінімальний; мінімум
minister; n.; ˈmɪnɪstər; міністр
mirror; n.; ˈmɪrər; дзеркало
miserable; adj.; ˈmɪzərəbl; нещасний
miss; v., n.; mɪs; пропускати; міс
Miss; n.; mɪs; міс
mist; n.; mɪst; туман
mistake; n.; mɪˈsteɪk; помилка
mix; v.; mɪks; змішувати
mobile; adj., n.; ˈməʊbaɪl; мобільний; мобільний телефон
model; n.; ˈmɒdl; модель
modern; adj.; ˈmɒdərn; сучасний
moment; n.; ˈməʊmənt; момент
money; n.; ˈmʌni; гроші
monkey; n.; ˈmʌŋki; мавпа
month; n.; mʌnθ; місяць
moon; n.; muːn; місяць
more; det., pron.; mɔːr; більше
morning; n.; ˈmɔːrnɪŋ; ранок
mosque; n.; mɒsk; мечеть
most; det., pron.; məʊst; більшість
mother; n.; ˈmʌðər; мати
motor-racing; n.; ˈməʊtər reɪsɪŋ; автогонки
motor; n.; ˈməʊtər; мотор
motorbike; n.; ˈməʊtəbaɪk; мотоцикл
motorcycle; n.; ˈməʊtərsaɪkl; мотоцикл
motorway; n.; ˈməʊtəweɪ; автомагістраль
mountain; n.; ˈmaʊntn; гора
mouse; n.; maʊs; миша
moustache; n.; məˈstɑːʃ; вуса
mouth; n.; maʊθ; рот
move; v.; muːv; рухатися
movie star; n.; ˈmuːvi stɑːr; кінозірка
movie theatre; n.; ˈmuːvi ˈθɪətər; кінотеатр
movie; n.; ˈmuːvi; фільм
MP3 player; n.; ˌem piː θriː ˈpleɪər; MP3-плеєр
Mr; n.; ˈmɪstər; містер
Mrs; n.; ˈmɪsɪz; місіс
Ms; n.; mɪz; мс
much; det., pron.; mʌtʃ; багато
mug; n.; mʌɡ; кухоль
multiply; v.; ˈmʌltɪplaɪ; множити
mum; n.; mʌm; мама
mummy; n.; ˈmʌmi; мумія
murder; n., v.; ˈmɜːrdər; вбивство; вбивати
museum; n.; mjuːˈziːəm; музей
mushroom; n.; ˈmʌʃruːm; гриб
music; n.; ˈmjuːzɪk; музика
musical; adj.; ˈmjuːzɪkl; музичний
musician; n.; mjuːˈzɪʃn; музикант
mustard; n.; ˈmʌstərd; гірчиця
my; pron.; maɪ; мій
myself; pron.; maɪˈself; сам
mystery; n.; ˈmɪstri; таємниця
nail; n.; neɪl; ніготь
narrow; adj.; ˈnærəʊ; вузький
nasty; adj.; ˈnɑːsti; противний
national; adj.; ˈnæʃnəl; національний
nationality; n.; ˌnæʃnˈæləti; національність
natural; adj.; ˈnætʃrəl; природний
nature; n.; ˈneɪtʃər; природа
near; prep., adv.; nɪər; біля; поруч
nearby; adj., adv.; ˈnɪəbaɪ; поблизу
nearly; adv.; ˈnɪəli; майже
neat; adj.; niːt; охайний
necessary; adj.; ˈnesəsəri; необхідний
neck; n.; nek; шия
need; v., n.; niːd; потребувати; потреба
needle; n.; ˈniːdl; голка
negative; adj.; ˈneɡətɪv; негативний
neighbour; n.; ˈneɪbər; сусід
neighbourhood; n.; ˈneɪbərhʊd; сусідство
neither; det., pron.; ˈnaɪðər; жоден
nephew; n.; ˈnefjuː; племінник
nervous; adj.; ˈnɜːrvəs; нервовий
network; n.; ˈnetwɜːrk; мережа
never; adv.; ˈnevər; ніколи
new; adj.; njuː; новий
news; n.; njuːz; новини
newsagent; n.; ˈnjuːzeɪdʒənt; продавець газет
newspaper; n.; ˈnjuːzpeɪpər; газета
next to; prep.; nekst tuː; поруч з
next; adj., adv.; nekst; наступний; потім
nice; adj.; naɪs; гарний
niece; n.; niːs; племінниця
night; n.; naɪt; ніч
nightclub; n.; ˈnaɪtklʌb; нічний клуб
no one; pron.; nəʊ wʌn; ніхто
no; det., adv.; nəʊ; ні
nobody; pron.; ˈnəʊbədi; ніхто
noise; n.; nɔɪz; шум
none; pron.; nʌn; ніхто, ніщо
nonsense; n.; ˈnɒnsns; нісенітниця
noon; n.; nuːn; полудень
nor; conj.; nɔːr; ані
normal; adj.; ˈnɔːrml; нормальний
north; n., adj.; nɔːrθ; північ; північний
northeast; n., adj.; nɔːrθˈiːst; північний схід; північно-східний
northwest; n., adj.; nɔːrθˈwest; північний захід; північно-західний
nose; n.; nəʊz; ніс
not; adv.; nɒt; не
note; n., v.; nəʊt; записка; занотовувати
notebook; n.; ˈnəʊtbʊk; блокнот
notepaper; n.; ˈnəʊtpeɪpər; папір для записів
nothing; pron.; ˈnʌθɪŋ; ніщо
notice; n., v.; ˈnəʊtɪs; повідомлення; помічати
novel; n.; ˈnɒvl; роман
now; adv.; naʊ; зараз
nowadays; adv.; ˈnaʊədeɪz; в наш час
nowhere; adv.; ˈnəʊweər; ніде
number; n.; ˈnʌmbər; число
nurse; n.; nɜːrs; медсестра
nut; n.; nʌt; горіх
O.K.; int.; əʊˈkeɪ; гаразд
object; n.; ˈɒbdʒekt; предмет
obvious; adj.; ˈɒbviəs; очевидний
occasion; n.; əˈkeɪʒn; випадок
occasional; adj.; əˈkeɪʒənl; випадковий
occupation; n.; ˌɒkjuˈpeɪʃn; заняття
ocean; n.; ˈəʊʃn; океан
of course; phr.; əv kɔːrs; звичайно
of; prep.; ɒv; з
off; prep., adv.; ɒf; з
offer; v., n.; ˈɒfər; пропонувати; пропозиція
office; n.; ˈɒfɪs; офіс
officer; n.; ˈɒfɪsər; офіцер
often; adv.; ˈɒfn; часто
oh dear!; phr.; əʊ dɪər; ой, боже!
oh!; int.; əʊ; ох!
oil; n.; ɔɪl; масло
OK; int.; əʊˈkeɪ; гаразд
okay; int.; əʊˈkeɪ; гаразд
old-fashioned; adj.; əʊldˈfæʃnd; старомодний
old; adj.; əʊld; старий
omelette; n.; ˈɒmlɪt; омлет
on board; phr.; ɒn bɔːrd; на борту
on business; phr.; ɒn ˈbɪznɪs; у справах
on fire; phr.; ɒn ˈfaɪər; у вогні
on foot; phr.; ɒn fʊt; пішки
on holiday; phr.; ɒn ˈhɒlədeɪ; у відпустці
on loan; phr.; ɒn ləʊn; у позиці
on purpose; phr.; ɒn ˈpɜːrpəs; навмисно
on request; phr.; ɒn rɪˈkwest; за запитом
on sale; phr.; ɒn seɪl; у продажу
on time; phr.; ɒn taɪm; вчасно
on; prep.; ɒn; на
once; adv., conj.; wʌns; колись
one-way; adj.; ˈwʌnweɪ; односторонній
one; det., pron.; wʌn; один
oneself; pron.; wʌnˈself; сам
onion; n.; ˈʌnjən; цибуля
online; adj., adv.; ɒnˈlaɪn; онлайн
only; adj., adv.; ˈəʊnli; тільки
onto; prep.; ˈɒntuː; на
open; adj., v.; ˈəʊpən; відкритий; відкривати
opening hours; n.; ˈəʊpənɪŋ ˈaʊərz; години роботи
opera; n.; ˈɒpərə; опера
operate; v.; ˈɒpəreɪt; оперувати
operation; n.; ˌɒpəˈreɪʃn; операція
operator; n.; ˈɒpəreɪtər; оператор
opinion; n.; əˈpɪniən; думка
opportunity; n.; ˌɒpəˈtjuːnəti; можливість
opposite; adj., prep.; ˈɒpəzɪt; протилежний; навпроти
option; n.; ˈɒpʃn; варіант
or; conj.; ɔːr; або
orange; n., adj.; ˈɒrɪndʒ; апельсин; помаранчевий
orchestra; n.; ˈɔːrkɪstrə; оркестр
order; n., v.; ˈɔːrdər; порядок; замовляти
ordinary; adj.; ˈɔːrdnri; звичайний
organisation; n.; ˌɔːrɡənaɪˈzeɪʃn; організація
organise; v.; ˈɔːrɡənaɪz; організовувати
original; adj.; əˈrɪdʒənl; оригінальний
other; det., pron.; ˈʌðər; інший
our; pron.; ˈaʊər; наш
ours; pron.; ˈaʊərz; наш (чий?)
ourselves; pron.; aʊərˈselvz; себе
out of date; phr.; aʊt əv deɪt; застарілий
out of doors; phr.; aʊt əv dɔːrz; на вулиці
out of order; phr.; aʊt əv ˈɔːrdər; не працює
out of stock; phr.; aʊt əv stɒk; немає в наявності
out of work; phr.; aʊt əv wɜːrk; безробітний
out of; prep.; aʊt ɒv; з
out; adv.; aʊt; ззовні
outdoor; adj.; ˈaʊtdɔːr; зовнішній
outdoors; adv.; aʊtˈdɔːrz; на вулиці
outside; prep., adv.; aʊtˈsaɪd; зовні
oven; n.; ˈʌvn; духовка
over; prep., adv.; ˈəʊvər; над
overnight; adv.; ˌəʊvərˈnaɪt; протягом ночі
overtake; v.; ˌəʊvəˈteɪk; обганяти
owe; v.; əʊ; бути винним
own; adj., v.; əʊn; власний; володіти
owner; n.; ˈəʊnər; власник
o’clock; adv.; əˈklɒk; година
cassette; n.; kəˈset; касета
CD; n.; siːˈdiː; компакт-диск
p.m.; n.; piːˈem; після полудня
pack; v., n.; pæk; пакувати; пачка
packet; n.; ˈpækɪt; пачка
page; n.; peɪdʒ; сторінка
pain; n.; peɪn; біль
paint; v., n.; peɪnt; фарбувати; фарба
pair; n.; peər; пара
palace; n.; ˈpæləs; палац
pale; adj.; peɪl; блідий
pan; n.; pæn; каструля
pants; n.; pænts; штани
paper; n.; ˈpeɪpər; папір
parcel; n.; ˈpɑːrsl; посилка
pardon; v., n.; ˈpɑːrdn; вибачати; вибачення
parent; n.; ˈpeərənt; батько, мати
park; n., v.; pɑːrk; парк; паркувати
parliament; n.; ˈpɑːrləmənt; парламент
part time; adj.; pɑːrt taɪm; неповний робочий день
part-time; adj.; pɑːrtˈtaɪm; неповний робочий день
part; n.; pɑːrt; частина
particular; adj.; pəˈtɪkjələr; особливий
partly; adv.; ˈpɑːrtli; частково
partner; n.; ˈpɑːrtnər; партнер
party; n.; ˈpɑːrti; вечірка
pass; v., n.; pɑːs; проходити; пропуск
passenger; n.; ˈpæsɪndʒər; пасажир
passport; n.; ˈpɑːspɔːrt; паспорт
password; n.; ˈpæswɜːrd; пароль
past; prep., n.; pɑːst; повз; минуле
pasta; n.; ˈpæstə; паста
pastry; n.; ˈpeɪstri; випічка
path; n.; pæθ; стежка
patient; adj., n.; ˈpeɪʃnt; терплячий; пацієнт
pattern; n.; ˈpætn; візерунок
pause; v., n.; pɔːz; пауза; робити паузу
pavement; n.; ˈpeɪvmənt; тротуар
pay; v.; peɪ; платити
pea; n.; piː; горох
peace; n.; piːs; мир
peanut; n.; ˈpiːnʌt; арахіс
pear; n.; peər; груша
pedestrian; n.; pəˈdestriən; пішохід
peel; v., n.; piːl; чистити; шкірка
pen-friend; n.; penfrend; друг по листуванню
pen; n.; pen; ручка
pence; n.; pens; пенси
pencil case; n.; ˈpensl keɪs; пенал
pencil; n.; ˈpensl; олівець
penknife; n.; ˈpennaɪf; складаний ніж
penny; n.; ˈpeni; пенні
pension; n.; ˈpenʃn; пенсія
people; n.; ˈpiːpl; люди
pepper; n.; ˈpepər; перець
per cent; phr.; pər sent; відсоток
per; prep.; pɜːr; за
perfect; adj.; ˈpɜːrfɪkt; ідеальний
perform; v.; pəˈfɔːrm; виконувати
performance; n.; pəˈfɔːrməns; виконання
perfume; n.; ˈpɜːrfjuːm; парфуми
perhaps; adv.; pərˈhæps; можливо
period; n.; ˈpɪəriəd; період
permanent; adj.; ˈpɜːrmənənt; постійний
permission; n.; pəˈmɪʃn; дозвіл
permitted; adj.; pəˈmɪtɪd; дозволений
person; n.; ˈpɜːrsn; людина
personal; adj.; ˈpɜːrsənl; особистий
persuade; v.; pəˈsweɪd; переконувати
pet; n.; pet; домашня тварина
petrol station; n.; ˈpetrəl ˈsteɪʃn; автозаправна станція
petrol; n.; ˈpetrəl; бензин
pharmacy; n.; ˈfɑːrməsi; аптека
phone; n., v.; fəʊn; телефон; телефонувати
photo; n.; ˈfəʊtəʊ; фотографія
photocopy; n., v.; ˈfəʊtəʊkɒpi; ксерокопія; робити ксерокопію
photograph; n.; ˈfəʊtəɡrɑːf; фотографія
photography; n.; fəˈtɒɡrəfi; фотографія
physician; n.; fɪˈzɪʃn; лікар
physics; n.; ˈfɪzɪks; фізика
piano; n.; piˈænəʊ; піаніно
pick up; v.; pɪk ʌp; піднімати
pick; v.; pɪk; вибирати
picture; n.; ˈpɪktʃər; картина
pie; n.; paɪ; пиріг
piece; n.; piːs; шматок
pig; n.; pɪɡ; свиня
pile; n.; paɪl; купа
pill; n.; pɪl; таблетка
pillow; n.; ˈpɪləʊ; подушка
pilot; n.; ˈpaɪlət; пілот
pin; n.; pɪn; шпилька
pink; adj., n.; pɪŋk; рожевий
pipe; n.; paɪp; труба
pity; n.; ˈpɪti; жаль
pizza; n.; ˈpiːtsə; піца
place; n., v.; pleɪs; місце; ставити
plain; adj.; pleɪn; простий
plan; n., v.; plæn; план; планувати
plane; n.; pleɪn; літак
planet; n.; ˈplænɪt; планета
plant; n., v.; plɑːnt; рослина; садити
plastic; adj., n.; ˈplæstɪk; пластиковий; пластик
plate; n.; pleɪt; тарілка
platform; n.; ˈplætfɔːrm; платформа
play; v., n.; pleɪ; грати; гра
player; n.; ˈpleɪər; гравець
playground; n.; ˈpleɪɡraʊnd; дитячий майданчик
playing cards; n.; ˈpleɪɪŋ kɑːrdz; гральні карти
pleasant; adj.; ˈpleznt; приємний
please; int.; pliːz; будь ласка
pleasure; n.; ˈpleʒər; задоволення
plenty; det., pron.; ˈplenti; багато
plug in; v.; plʌɡ ɪn; вмикати в розетку
plug; n.; plʌɡ; вилка (електрична)
pocket money; n.; ˈpɒkɪt ˈmʌni; кишенькові гроші
pocket; n.; ˈpɒkɪt; кишеня
poem; n.; ˈpəʊɪm; вірш
poet; n.; ˈpəʊɪt; поет
poetry; n.; ˈpəʊətri; поезія
point; n., v.; pɔɪnt; точка; вказувати
police officer; n.; pəˈliːs ˈɒfɪsər; поліцейський
police station; n.; pəˈliːs ˈsteɪʃn; поліцейський відділок
police; n.; pəˈliːs; поліція
policeman; n.; pəˈliːsmən; поліцейський
policewoman; n.; pəˈliːswʊmən; поліцейська
polite; adj.; pəˈlaɪt; ввічливий
political; adj.; pəˈlɪtɪkl; політичний
politician; n.; ˌpɒləˈtɪʃn; політик
politics; n.; ˈpɒlətɪks; політика
pollution; n.; pəˈluːʃn; забруднення
pool; n.; puːl; басейн
pop; n.; pɒp; поп-музика
population; n.; ˌpɒpjuˈleɪʃn; населення
port; n.; pɔːrt; порт
porter; n.; ˈpɔːrtər; портьє
position; n.; pəˈzɪʃn; позиція
positive; adj.; ˈpɒzətɪv; позитивний
possibility; n.; ˌpɒsəˈbɪləti; можливість
possible; adj.; ˈpɒsəbl; можливий
post office; n.; ˈpəʊst ˈɒfɪs; поштове відділення
post; n., v.; pəʊst; пошта; відправляти поштою
postage; n.; ˈpəʊstɪdʒ; поштові витрати
postcard; n.; ˈpəʊstkɑːrd; листівка
poster; n.; ˈpəʊstər; плакат
postman; n.; ˈpəʊstmən; листоноша
pot; n.; pɒt; горщик
potato; n.; pəˈteɪtəʊ; картопля
pound; n.; paʊnd; фунт
pour; v.; pɔːr; лити
poverty; n.; ˈpɒvərti; бідність
powder; n.; ˈpaʊdər; порошок
power; n.; ˈpaʊər; сила
practice; n.; ˈpræktɪs; практика
practise; v.; ˈpræktɪs; практикуватися
pray; v.; preɪ; молитися
prayer; n.; preɪər; молитва
prefer; v.; prɪˈfɜːr; надавати перевагу
preparation; n.; ˌprepəˈreɪʃn; підготовка
prepare; v.; prɪˈpeər; готувати
prescription; n.; prɪˈskrɪpʃn; рецепт (лікарський)
presenter; n.; prɪˈzentər; ведучий
president; n.; ˈprezɪdənt; президент
press; n.; pres; преса
prevent; v.; prɪˈvent; запобігати
previous; adj.; ˈpriːviəs; попередній
price; n.; praɪs; ціна
priest; n.; priːst; священик
primary; adj.; ˈpraɪməri; первинний
prime minister; n.; praɪm ˈmɪnɪstər; прем'єр-міністр
prince; n.; prɪns; принц
princess; n.; prɪnˈses; принцеса
principal; adj., n.; ˈprɪnsəpl; головний; директор
print; v., n.; prɪnt; друкувати; друк
prison; n.; ˈprɪzn; в'язниця
prisoner; n.; ˈprɪznər; в'язень
private; adj.; ˈpraɪvət; приватний
prize; n.; praɪz; приз
probable; adj.; ˈprɒbəbl; ймовірний
probably; adv.; ˈprɒbəbli; ймовірно
problem; n.; ˈprɒbləm; проблема
produce; v., n.; prəˈdʒuːs; виробляти; продукт
product; n.; ˈprɒdʌkt; продукт
profession; n.; prəˈfeʃn; професія
professional; adj.; prəˈfeʃənl; професійний
professor; n.; prəˈfesər; професор
program; n.; ˈprəʊɡræm; програма
project; n.; ˈprɒdʒekt; проект
promise; v., n.; ˈprɒmɪs; обіцяти; обіцянка
pronounce; v.; prəˈnaʊns; вимовляти
pronunciation; n.; prəˌnʌnsiˈeɪʃn; вимова
proper; adj.; ˈprɒpər; належний
property; n.; ˈprɒpərti; власність
protect; v.; prəˈtekt; захищати
proud; adj.; praʊd; гордий
prove; v.; pruːv; доводити
provide; v.; prəˈvaɪd; забезпечувати
public; adj., n.; ˈpʌblɪk; публічний; публіка
publish; v.; ˈpʌblɪʃ; публікувати
pull; v.; pʊl; тягнути
pullover; n.; ˈpʊləʊvər; пуловер
pump; n., v.; pʌmp; насос; качати
punctual; adj.; ˈpʌŋktʃuəl; пунктуальний
punish; v.; ˈpʌnɪʃ; карати
punishment; n.; ˈpʌnɪʃmənt; покарання
pupil; n.; ˈpjuːpl; учень
pure; adj.; pjʊər; чистий
purple; adj., n.; ˈpɜːrpl; фіолетовий
purpose; n.; ˈpɜːrpəs; мета
purse; n.; pɜːrs; гаманець
push; v.; pʊʃ; штовхати
put away; v.; pʊt əˈweɪ; класти на місце
put down; v.; pʊt daʊn; покласти
put off; v.; pʊt ɒf; відкладати
put on; v.; pʊt ɒn; одягати
put out; v.; pʊt aʊt; гасити
put through; v.; pʊt θruː; з'єднувати (по телефону)
put up; v.; pʊt ʌp; встановлювати
put; v.; pʊt; класти
pyjamas; n.; pəˈdʒɑːməz; піжама
record; n., v.; ˈrekɔːrd; запис; записувати
qualification; n.; ˌkwɒlɪfɪˈkeɪʃn; кваліфікація
qualify; v.; ˈkwɒlɪfaɪ; кваліфікуватися
quality; n.; ˈkwɒləti; якість
quantity; n.; ˈkwɒntəti; кількість
quarter; n.; ˈkwɔːrtər; чверть
quay; n.; kiː; набережна
queen; n.; kwiːn; королева
question; n.; ˈkwestʃn; питання
questionnaire; n.; ˌkwestʃəˈneər; анкета
queue; n.; kjuː; черга
quick; adj.; kwɪk; швидкий
quiet; adj.; ˈkwaɪət; тихий
quit; v.; kwɪt; звільнятися
quite; adv.; kwaɪt; досить
quiz; n.; kwɪz; вікторина
rabbit; n.; ˈræbɪt; кролик
race; n.; reɪs; гонка
racket; n.; ˈrækɪt; ракетка
radio; n.; ˈreɪdiəʊ; радіо
rail; n.; reɪl; рейка
railway; n.; ˈreɪlweɪ; залізниця
rain; n., v.; reɪn; дощ; йти дощем
raincoat; n.; ˈreɪnkəʊt; плащ
rainforest; n.; ˈreɪnfɒrɪst; тропічний ліс
